Indiv_id	Groundtrth	Size_id	Community_	Grass_heig	Andropog_c	Tree_densi	Geol_id	Xval	Yval	Fire5698	Altitude	Slope	Aspect	Rsp	Trmi	Twi
335	426	1	BG	tall grass	chlorodoid	0	5	91652.673473	-3118786.805067	12	187	5	158	5	31	-1.7
336	427	1	BG	tall grass	chlorodoid	0	5	91716.179826	-3118749.837624	12	190	6	156	15	45	-0.37
337	428	1	BG	tall grass	andropogonoid	1	5	91789.535825	-3118733.755366	12	188	5	154	15	41	0.62
338	429	1	BG	tall grass	chlorodoid	1	5	91888.261935	-3118707.167483	12	187	4	141	15	39	0.73
339	430	3	LG	short grass	unclear		5	91957.693005	-3118653.599723	12	184	3	112	5	26	-1.14
344	431		wallow				5	92420.165157	-3118667.28585	11	178	0	209	15	46	1.67
345	432	1	BG	tall grass	chlorodoid	1	5	92532.891367	-3118669.944523	11	180	1	211	5	34	0
346	433	3	LG	short grass	unclear	4	5	92659.037518	-3118708.381354	11	177	2	141	15	45	0.7
347	434	3	LG	short grass	unclear	4	5	92716.502665	-3118703.477642	11	176	2	142	15	45	1.1
348	435	3	LG	short grass	unclear	4	5	92875.78973	-3118613.158317	10	175	2	133	15	42	0.38
349	436	3	LG	short grass	unclear		5	92921.458424	-3118567.139935	10	175	3	118	15	40	0.22
350	437	1	BG	tall grass	unclear	4	5	93028.476491	-3118491.278699	10	169	3	94	15	36	0.35
351	438	1	BG	tall grass	unclear	4	5	93067.749948	-3118454.723573	10	166	4	82	15	33	0.92
352	439	1	BG	tall grass	unclear	4	5	93067.576069	-3118409.536698	9	165	5	92	20	39	6.25
355	440	3	LG	short grass	unclear	4	5	93246.338482	-3118255.163308	9	159	0	123	20	43	7.89
357	441	3	LG	short grass	unclear	4	5	93345.277117	-3118202.428932	7	159	0	134	20	46	7.92
359	442		patchy	tall grass	unclear	0	5	93441.591718	-3118081.30184	9	159	0	340	20	42	11.03
362	443	1	BG	tall grass	chlorodoid	0	5	93639.133488	-3118019.236082	9	161	0	40	10	24	0.56
366	444	3	BG	tall grass	chlorodoid	4	5	94053.933142	-3117867.920748	8	160	0	194	10	38	0.72
367	445		wallow				5	94121.670795	-3117763.815206	8	160	1	168	15	45	2.67
